mal_id,title,title_english,title_japanese,type,source,episodes,status,airing,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,producers,licensors,studios,genres,explicit_genres,themes,demographics
38826,Tenki no Ko,Weathering with You,天気の子,Movie,Original,1.0,Finished Airing,False,"Jul 19, 2019",1 hr 52 min,PG-13 - Teens 13 or older,8.27,637044.0,311.0,156,1058833,12903,"Tenki no Ko sold more than 1.1 million tickets, grossing 1.6 billion yen (about US$15.22 million) in its first three days in more than 350 theaters. The film ranked #1 in its opening weekend and is currently the #7 highest-earning domestic film of all time in Japan and the highest-grossing film in Japan in 2019. Tenki no Ko is also Japan's submission for the Best International Feature Film category at the 92nd Academy Awards—the first anime that Japan has submitted in the category since Mononoke Hime in 1998. It won the prize for Animation of the Year award at the 43rd annual Japan Academy Prize ceremony. It also won the Social Impact Award on the 23rd Japan Media Arts Festival.",,,"TOHO, JR East Marketing & Communications, Kadokawa, voque ting, STORY, Lawson Entertainment",GKIDS,CoMix Wave Films,"Award Winning, Drama, Romance, Supernatural",,,
57592,Dr. Stone: Science Future,Dr. Stone: Science Future,Dr.STONE SCIENCE FUTURE,TV,Manga,12.0,Currently Airing,True,"Jan 9, 2025 to Mar 27, 2025",24 min per ep,PG-13 - Teens 13 or older,8.26,20498.0,326.0,1417,177717,675,,winter,Thursdays at 22:00 (JST),"TOHO animation, Shueisha",,TMS Entertainment,"Adventure, Comedy, Sci-Fi",,,Shounen
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Steins;Gate: Open the Missing Link - Divide By Zero,シュタインズ・ゲート境界面上のミッシングリンク-Divide By Zero-,TV Special,Visual novel,1.0,Finished Airing,False,"Dec 3, 2015",24 min,PG-13 - Teens 13 or older,8.26,153261.0,322.0,939,274347,457,"Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero aired on December 3, 2015 during the rebroadcast of Steins;Gate to promote the Steins;Gate 0 visual novel, which was subsequently released on December 10, 2015. It was bundled with the Steins;Gate complete Blu-ray box set, released in Japan on February 5, 2016 and in North America on February 5, 2019 by Funimation Entertainment. The special incorporates a majority of the Steins;Gate anime's 23rd episode, ""Open the Steins Gate,"" but features an entirely new alternative ending in its latter half.",,,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,White Fox,"Sci-Fi, Suspense",,Time Travel,
23327,Space☆Dandy 2nd Season,Space Dandy 2nd Season,スペース☆ダンディ 第2シリーズ,TV,Original,13.0,Finished Airing,False,"Jul 6, 2014 to Sep 25, 2014",24 min per ep,PG-13 - Teens 13 or older,8.26,92471.0,321.0,1453,174287,1899,,summer,Unknown,"Bandai Visual, flying DOG, Bandai Namco Entertainment",Funimation,Bones,"Comedy, Sci-Fi",,"Adult Cast, Space",
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,Kaiji: Ultimate Survivor,逆境無頼カイジ Ultimate Survivor,TV,Manga,26.0,Finished Airing,False,"Oct 3, 2007 to Apr 2, 2008",23 min per ep,R - 17+ (violence & profanity),8.26,169220.0,328.0,682,370711,10423,"In a February 2015 poll conducted by Japanese website Goo Ranking, Gyakkyou Burai Kaiji: Ultimate Survivor placed second for ""Best Cerebral Anime."" The series was released on Blu-ray by Sentai Filmworks on April 20, 2021.",fall,Wednesdays at 00:59 (JST),"VAP, Nippon Television Network",Sentai Filmworks,Madhouse,Suspense,,"Adult Cast, High Stakes Game, Psychological, Strategy Game",Seinen
48316,Kage no Jitsuryokusha ni Naritakute!,The Eminence in Shadow,陰の実力者になりたくて！,TV,Light novel,20.0,Finished Airing,False,"Oct 5, 2022 to Feb 15, 2023",23 min per ep,R - 17+ (violence & profanity),8.26,402499.0,321.0,286,753012,16683,"Kage no Jitsuryokusha ni Naritakute! was released on Blu-ray and DVD in four volumes from January 25, 2023, to April 26, 2023. The anime adapts volumes 1 and 2 of the light novel series.",fall,Wednesdays at 22:30 (JST),"AT-X, BS NTV, Kadokawa, NewGin, Aiming",Sentai Filmworks,Nexus,"Action, Comedy, Fantasy",,"Isekai, Reincarnation",
2685,Tsubasa: Tokyo Revelations,Tsubasa RESERVoir CHRoNiCLE: Tokyo Revelations,ツバサ TOKYO REVELATIONS,OVA,Manga,3.0,Finished Airing,False,"Nov 16, 2007 to Mar 17, 2008",24 min per ep,R - 17+ (violence & profanity),8.26,45926.0,326.0,2251,98074,830,"Bundled with the limited editions of the 21st, 22nd, and 23rd volumes of the Tsubasa Chronicle manga.",,,Kodansha,Funimation,Production I.G,"Action, Adventure, Drama, Fantasy, Romance",,,Shounen
513,Tenkuu no Shiro Laputa,Castle in the Sky,天空の城ラピュタ,Movie,Original,1.0,Finished Airing,False,"Aug 2, 1986",2 hr 4 min,PG - Children,8.26,320119.0,324.0,465,511806,4553,Tenkuu no Shiro Laputa was the first film to be produced and released by Studio Ghibli. It won the Animage Anime Grand Prix in 1986.,,,"Tokuma Shoten, Streamline Pictures, Omnibus Promotion","Disney Platform Distribution, GKIDS",Studio Ghibli,"Adventure, Award Winning, Fantasy",,,
2150,Tanoshii Muumin Ikka,Moomin,楽しいムーミン一家,TV,Book,78.0,Finished Airing,False,"Apr 12, 1990 to Oct 3, 1991",24 min per ep,G - All Ages,8.26,12994.0,323.0,4322,29788,798,"Based on the classic Swedish-Finnish children's series by Tove Jansson, Tanoshii Muumin Ikka starts off from the events of the third novel, ""Finn Family Moomintrol.""",spring,Thursdays at 19:00 (JST),"TV Tokyo, Starchild Records, Visual 80",,Telescreen,"Adventure, Fantasy, Slice of Life",,Iyashikei,Kids
53111,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,ダンジョンに出会いを求めるのは間違っているだろうかⅣ深章 厄災篇,TV,Light novel,11.0,Finished Airing,False,"Jan 7, 2023 to Mar 18, 2023",23 min per ep,R - 17+ (violence & profanity),8.25,135661.0,330.0,1007,258760,1761,,winter,Saturdays at 01:05 (JST),"Genco, Movic, Warner Bros. Japan, KlockWorx, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, GREE, SB Creative",Sentai Filmworks,J.C.Staff,"Action, Adventure, Fantasy",,,
37520,Dororo,Dororo,どろろ,TV,Manga,24.0,Finished Airing,False,"Jan 7, 2019 to Jun 24, 2019",24 min per ep,R - 17+ (violence & profanity),8.25,660630.0,329.0,107,1295308,21892,,winter,Mondays at 22:30 (JST),Twin Engine,Sentai Filmworks,"Tezuka Productions, MAPPA","Action, Adventure, Fantasy",,"Historical, Mythology, Samurai",Shounen
13125,Shinsekai yori,From the New World,新世界より,TV,Novel,25.0,Finished Airing,False,"Sep 29, 2012 to Mar 23, 2013",22 min per ep,R - 17+ (violence & profanity),8.25,283318.0,336.0,256,798899,22211,,fall,Saturdays at 00:30 (JST),"Aniplex, TV Asahi, Pony Canyon",Sentai Filmworks,A-1 Pictures,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Suspense",,Psychological,
2418,Stranger: Mukou Hadan,Sword of the Stranger,ストレンヂア -無皇刃譚-,Movie,Original,1.0,Finished Airing,False,"Sep 29, 2007",1 hr 42 min,R - 17+ (violence & profanity),8.25,168337.0,337.0,746,342915,3022,"Stranger: Mukou Hadan won the award for Best Animated Feature at Brazil's International Fantastic Film Festival and was nominated for the same categories at the Asia Pacific Screen Awards. It also won the 2009 ""Menzione Speciale"" recognition at Italy's Future Film Festival. The film wasn't nominated to the Oscars, but it was amongst the 14 finalists for consideration to the Best Animated Feature Award; however, the final nominees were WALL-E, Bolt and Kung Fu Panda.",,,"Bandai Visual, Shochiku, Sony Music Entertainment, Hakuhodo DY Media Partners, Fonishia","Funimation, Bandai Entertainment",Bones,"Action, Adventure",,"Historical, Samurai",
44412,Doupo Cangqiong 4th Season,Fights Break Sphere 4th Season,斗破苍穹 第四季,ONA,Novel,24.0,Finished Airing,False,"Mar 28, 2021 to Aug 29, 2021",24 min per ep,PG-13 - Teens 13 or older,8.25,4245.0,330.0,7216,8553,108,,,,Tencent Penguin Pictures,,Motion Magic,"Action, Adventure, Fantasy, Romance, Supernatural",,"Martial Arts, Mythology",
44940,World Trigger 3rd Season,,ワールドトリガー,TV,Manga,14.0,Finished Airing,False,"Oct 10, 2021 to Jan 23, 2022",23 min per ep,PG-13 - Teens 13 or older,8.25,49761.0,340.0,1848,128799,1217,"World Trigger 3rd Season was released on Blu-ray in two volumes and on DVD in four volumes from April 27, 2022, to June 22, 2022.",fall,Sundays at 01:30 (JST),TV Asahi,,Toei Animation,"Action, Sci-Fi",,,Shounen
1698,Nodame Cantabile,Nodame Cantabile,のだめカンタービレ,TV,Manga,23.0,Finished Airing,False,"Jan 12, 2007 to Jun 15, 2007",22 min per ep,PG-13 - Teens 13 or older,8.25,131923.0,334.0,799,322531,4935,,winter,Thursdays at 21:00 (JST),"Dentsu, Genco, SKY Perfect Well Think, Kodansha, Fuji TV, Magic Capsule, Asmik Ace, Sony Music Entertainment, Fujipacific Music",,J.C.Staff,"Comedy, Romance",,"Adult Cast, Music",Josei
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,KonoSuba: God's Blessing on This Wonderful World! 2,この素晴らしい世界に祝福を！ 2,TV,Light novel,10.0,Finished Airing,False,"Jan 12, 2017 to Mar 16, 2017",23 min per ep,PG-13 - Teens 13 or older,8.25,1048338.0,333.0,76,1582205,12006,Kono Subarashii Sekai ni Shukufuku wo! 2 adapts volumes 3 and 4 of Natsume Akatsuki's light novel series of the same name.,winter,Thursdays at 01:05 (JST),"Kadokawa Shoten, Nippon Columbia, KlockWorx, Sony Music Communications, Toranoana, 81 Produce, Kadokawa Media House",Discotek Media,Studio Deen,"Adventure, Comedy, Fantasy",,"Isekai, Parody",
523,Tonari no Totoro,My Neighbor Totoro,となりのトトロ,Movie,Original,1.0,Finished Airing,False,"Apr 16, 1988",1 hr 26 min,G - All Ages,8.25,722829.0,338.0,142,1109533,8845,"In 1988, Tonari no Totoro won the Best Film and Ofuji Noburo awards in the Mainichi Film Awards, the Special Award in the 31st Blue Ribbon Awards, the Grand Prix in the Animage Anime Awards, and the Best Film and Reader's Choice Award: Best Japanese Film awards in the Kinema Junpo Awards.",,,"Tokuma Shoten, Streamline Pictures","Disney Platform Distribution, GKIDS",Studio Ghibli,"Adventure, Award Winning, Supernatural",,,
